Initial Position	Final Position	Reflection Count
3.00,2.00	4.49,-0.70	5
3.00,2.00	2.18,3.83	5
3.00,2.00	4.67,-0.43	5
3.00,2.00	-4.02,1.90	5
3.00,2.00	-0.29,-4.12	5
3.00,2.00	-3.89,-2.94	5
3.00,2.00	-3.31,3.18	5
3.00,2.00	-1.25,3.80	5
3.00,2.00	1.13,4.61	5
3.00,2.00	3.82,-1.57	5
3.00,2.00	0.37,4.33	5
3.00,2.00	2.98,2.76	5
3.00,2.00	3.55,1.96	5
3.00,2.00	-2.50,3.39	5
3.00,2.00	-4.03,2.92	5
3.00,2.00	1.85,-4.31	5
3.00,2.00	-0.80,-3.98	5
3.00,2.00	-3.81,2.99	5
3.00,2.00	-0.41,-4.11	5
3.00,2.00	-4.02,2.22	5
3.00,2.00	-4.02,0.81	5
3.00,2.00	2.94,-2.83	5
3.00,2.00	1.25,4.65	5
3.00,2.00	2.47,3.48	5
3.00,2.00	0.37,-4.34	5
3.00,2.00	1.28,4.64	5
3.00,2.00	3.69,1.76	5
3.00,2.00	0.04,4.24	5
3.00,2.00	2.06,4.00	5
3.00,2.00	4.06,1.26	5
3.00,2.00	-3.51,3.09	5
3.00,2.00	-3.20,-3.20	5
3.00,2.00	3.22,2.43	5
3.00,2.00	-3.19,-3.19	5
3.00,2.00	-3.50,-3.08	5
3.00,2.00	3.69,-1.75	5
3.00,2.00	-0.45,-4.10	5
3.00,2.00	0.57,-4.40	5
3.00,2.00	0.30,4.34	5
3.00,2.00	4.98,0.01	5
3.00,2.00	3.15,2.48	5
3.00,2.00	-3.53,-3.08	5
3.00,2.00	-1.30,3.79	5
3.00,2.00	0.97,4.53	5
3.00,2.00	2.15,3.92	5
3.00,2.00	0.03,-4.25	5
3.00,2.00	2.61,-3.25	5
3.00,2.00	-4.02,2.33	5
3.00,2.00	1.73,-4.48	5
3.00,2.00	0.75,4.48	5
3.00,2.00	1.83,-4.36	5
3.00,2.00	-4.04,0.51	5
3.00,2.00	3.06,-2.62	5
3.00,2.00	0.52,-4.38	5
3.00,2.00	-4.01,0.44	5
3.00,2.00	4.65,-0.40	5
3.00,2.00	-0.29,4.15	5
3.00,2.00	-2.03,3.57	5
3.00,2.00	-2.53,-3.40	5
3.00,2.00	1.45,-4.72	5
3.00,2.00	-4.02,1.90	5
3.00,2.00	-4.03,-1.97	5
3.00,2.00	-4.02,1.16	5
3.00,2.00	0.28,-4.34	5
3.00,2.00	3.91,1.47	5
3.00,2.00	4.09,1.20	5
3.00,2.00	-2.42,3.43	5
3.00,2.00	-1.37,3.80	5
3.00,2.00	-1.10,3.87	5
3.00,2.00	0.06,4.23	5
3.00,2.00	2.10,3.94	5
3.00,2.00	-1.98,3.61	5
3.00,2.00	2.04,-4.06	5
3.00,2.00	3.10,2.60	5
3.00,2.00	3.40,-2.19	5
3.00,2.00	2.60,3.29	5
3.00,2.00	1.68,-4.52	5
3.00,2.00	1.07,4.58	5
3.00,2.00	3.77,1.63	5
3.00,2.00	0.46,-4.38	5
3.00,2.00	-0.58,4.05	5
3.00,2.00	1.81,4.38	5
3.00,2.00	-4.03,-1.52	5
3.00,2.00	4.15,1.11	5
3.00,2.00	3.70,1.73	5
3.00,2.00	2.90,-2.86	5
3.00,2.00	4.22,1.07	5
3.00,2.00	1.52,4.74	5
3.00,2.00	1.69,-4.54	5
3.00,2.00	-0.61,-4.04	5
3.00,2.00	3.86,1.57	5
3.00,2.00	1.01,4.55	5
3.00,2.00	3.46,2.08	5
3.00,2.00	-2.77,3.35	5
3.00,2.00	-0.96,-3.91	5
3.00,2.00	2.95,-2.80	5
3.00,2.00	4.06,1.29	5
3.00,2.00	4.51,-0.64	5
3.00,2.00	4.48,0.69	5
3.00,2.00	-1.78,3.64	5
3.00,2.00	-4.04,0.61	5
3.00,2.00	1.50,4.71	5
3.00,2.00	1.77,4.42	5
3.00,2.00	4.06,1.28	5
3.00,2.00	3.25,2.38	5
3.00,2.00	-1.62,-3.70	5
3.00,2.00	2.64,-3.23	5
3.00,2.00	3.32,-2.31	5
3.00,2.00	0.92,-4.52	5
3.00,2.00	-4.01,-0.40	5
3.00,2.00	-2.23,3.50	5
3.00,2.00	-4.01,1.66	5
3.00,2.00	3.38,-2.18	5
3.00,2.00	-0.96,3.93	5
3.00,2.00	0.99,-4.57	5
3.00,2.00	4.73,-0.35	5
3.00,2.00	-2.48,3.45	5
3.00,2.00	-4.01,0.33	5
3.00,2.00	-5.82,-27.36	3
3.00,2.00	-4.02,2.07	5
3.00,2.00	3.09,-2.58	5
3.00,2.00	4.67,-0.38	5
3.00,2.00	-4.03,-1.76	5
3.00,2.00	3.30,2.31	5
3.00,2.00	2.59,3.31	5
3.00,2.00	1.44,-4.70	5
3.00,2.00	2.03,-4.04	5
3.00,2.00	3.64,-1.86	5
3.00,2.00	0.32,-4.35	5
3.00,2.00	-1.34,3.81	5
3.00,2.00	2.73,-3.11	5
3.00,2.00	-2.13,3.53	5
3.00,2.00	-0.42,-4.10	5
3.00,2.00	0.89,-4.53	5
3.00,2.00	3.89,1.45	5
3.00,2.00	-4.03,1.37	5
3.00,2.00	-2.24,-3.49	5
3.00,2.00	2.53,-3.40	5
3.00,2.00	4.74,0.33	5
3.00,2.00	-1.60,3.71	5
3.00,2.00	4.35,0.88	5
3.00,2.00	-4.03,2.04	5
3.00,2.00	2.28,-3.71	5
3.00,2.00	26.41,-42.14	1
3.00,2.00	-3.07,3.25	5
3.00,2.00	3.01,-2.74	5
3.00,2.00	-1.98,3.56	5
3.00,2.00	-2.49,3.43	5
3.00,2.00	4.89,0.12	5
3.00,2.00	-4.01,0.52	5
3.00,2.00	3.57,1.95	5
3.00,2.00	0.25,-4.29	5
3.00,2.00	3.04,-2.63	5
3.00,2.00	3.89,1.48	5
3.00,2.00	1.41,4.67	5
3.00,2.00	4.51,-0.62	5
3.00,2.00	1.94,4.21	5
3.00,2.00	-4.01,1.62	5
3.00,2.00	1.24,-4.65	5
3.00,2.00	0.48,4.38	5
3.00,2.00	-1.51,3.74	5
3.00,2.00	1.84,-4.33	5
3.00,2.00	3.75,1.67	5
3.00,2.00	3.15,-2.47	5
3.00,2.00	-0.82,3.98	5
3.00,2.00	0.46,4.39	5
3.00,2.00	-1.35,3.80	5
3.00,2.00	3.73,1.72	5
3.00,2.00	-4.02,0.87	5
3.00,2.00	-4.04,2.74	5
3.00,2.00	-3.82,3.00	5
3.00,2.00	2.69,3.14	5
3.00,2.00	4.66,-0.39	5
3.00,2.00	4.49,-0.64	5
3.00,2.00	2.66,3.19	5
3.00,2.00	0.56,-4.41	5
3.00,2.00	3.39,-2.22	5
3.00,2.00	3.24,-2.39	5
3.00,2.00	-1.42,3.78	5
3.00,2.00	-3.28,3.17	5
3.00,2.00	2.52,3.33	5
3.00,2.00	-4.04,0.72	5
3.00,2.00	-2.33,-3.47	5
3.00,2.00	2.71,-3.13	5
3.00,2.00	2.54,-3.36	5
3.00,2.00	3.99,1.33	5
3.00,2.00	-4.03,-2.17	5
3.00,2.00	-1.05,-3.88	5
3.00,2.00	2.38,3.60	5
3.00,2.00	0.18,4.30	5
3.00,2.00	-4.04,-0.88	5
3.00,2.00	2.00,-4.11	5
3.00,2.00	3.70,1.77	5
3.00,2.00	-4.01,-0.01	5
3.00,2.00	-4.01,2.45	5
3.00,2.00	-2.14,3.55	5
3.00,2.00	-1.50,3.76	5
3.00,2.00	4.70,-0.35	5
3.00,2.00	4.64,0.45	5
3.00,2.00	-4.01,-1.28	5
3.00,2.00	-0.15,-4.18	5
3.00,2.00	1.86,-4.25	5
3.00,2.00	3.36,-2.26	5
3.00,2.00	1.25,4.66	5
3.00,2.00	0.16,-4.28	5
3.00,2.00	3.09,2.61	5
3.00,2.00	-4.03,1.73	5
3.00,2.00	1.40,-4.68	5
3.00,2.00	-1.79,3.65	5
3.00,2.00	-4.02,0.35	5
3.00,2.00	4.43,0.79	5
3.00,2.00	-0.01,4.24	5
3.00,2.00	0.36,-4.33	5
3.00,2.00	3.40,2.20	5
3.00,2.00	3.06,-2.64	5
3.00,2.00	-3.33,3.17	5
3.00,2.00	3.63,-1.87	5
3.00,2.00	4.85,-0.19	5
3.00,2.00	3.97,-1.41	5
3.00,2.00	0.77,-4.50	5
3.00,2.00	-2.18,3.51	5
3.00,2.00	1.63,4.56	5
3.00,2.00	-0.49,-4.06	5
3.00,2.00	-0.02,-4.23	5
3.00,2.00	3.21,2.40	5
3.00,2.00	-1.86,3.63	5
3.00,2.00	2.82,-2.93	5
