Initial Position	Final Position	Reflection Count
1.00,4.00	4.31,-1.43	5
1.00,4.00	-1.39,-4.64	5
1.00,4.00	0.67,-4.46	5
1.00,4.00	-3.49,-2.96	5
1.00,4.00	2.03,4.13	5
1.00,4.00	-3.57,2.89	5
1.00,4.00	4.48,1.08	5
1.00,4.00	4.24,1.56	5
1.00,4.00	3.32,3.45	5
1.00,4.00	-1.43,-4.58	5
1.00,4.00	3.35,3.34	5
1.00,4.00	2.46,4.06	5
1.00,4.00	-3.07,3.28	5
1.00,4.00	4.89,0.18	5
1.00,4.00	4.52,-0.99	5
1.00,4.00	3.21,3.65	5
1.00,4.00	4.05,1.91	5
1.00,4.00	-4.24,2.34	5
1.00,4.00	3.69,2.61	5
1.00,4.00	3.52,3.04	5
1.00,4.00	-3.03,3.31	5
1.00,4.00	-4.47,-1.66	5
1.00,4.00	-2.15,-4.00	5
1.00,4.00	3.29,3.48	5
1.00,4.00	-4.48,0.12	5
1.00,4.00	3.38,3.36	5
1.00,4.00	-3.32,3.08	5
1.00,4.00	2.72,-3.99	5
1.00,4.00	1.24,4.34	5
1.00,4.00	-0.88,4.80	5
1.00,4.00	-2.51,3.73	5
1.00,4.00	4.92,-0.08	5
1.00,4.00	2.62,4.01	5
1.00,4.00	-3.12,3.26	5
1.00,4.00	-1.42,4.62	5
1.00,4.00	4.03,-1.96	5
1.00,4.00	-4.03,2.51	5
1.00,4.00	4.66,-0.66	5
1.00,4.00	3.94,2.19	5
1.00,4.00	-3.79,2.73	5
1.00,4.00	4.78,-0.37	5
1.00,4.00	3.99,2.05	5
1.00,4.00	4.20,1.62	5
1.00,4.00	4.40,-1.17	5
1.00,4.00	-3.96,-2.57	5
1.00,4.00	-3.59,-2.90	5
1.00,4.00	3.26,3.56	5
1.00,4.00	-2.15,-4.01	5
1.00,4.00	-1.82,-4.28	5
1.00,4.00	3.28,3.57	5
1.00,4.00	-1.77,4.29	5
1.00,4.00	-3.13,3.22	5
1.00,4.00	0.69,4.46	5
1.00,4.00	-1.11,-4.82	5
1.00,4.00	3.06,3.92	5
1.00,4.00	3.63,2.79	5
1.00,4.00	-1.36,-4.64	5
1.00,4.00	0.83,-4.43	5
1.00,4.00	2.11,-4.13	5
1.00,4.00	-4.46,0.72	5
1.00,4.00	-2.36,-3.84	5
1.00,4.00	3.04,3.94	5
1.00,4.00	4.95,0.05	5
1.00,4.00	0.01,4.59	5
1.00,4.00	1.33,4.27	5
1.00,4.00	1.74,-4.21	5
1.00,4.00	0.80,4.42	5
1.00,4.00	-4.49,-1.00	5
1.00,4.00	-1.60,-4.47	5
1.00,4.00	-2.78,3.55	5
1.00,4.00	4.78,0.45	5
1.00,4.00	4.88,-0.22	5
1.00,4.00	-3.67,-2.80	5
1.00,4.00	1.38,-4.28	5
1.00,4.00	-3.94,-2.59	5
1.00,4.00	2.19,-4.10	5
1.00,4.00	1.16,4.35	5
1.00,4.00	-3.41,-3.03	5
1.00,4.00	-2.50,-3.75	5
1.00,4.00	-2.86,3.46	5
1.00,4.00	4.22,1.52	5
1.00,4.00	4.92,0.05	5
1.00,4.00	-4.46,1.91	5
1.00,4.00	-3.27,3.16	5
1.00,4.00	-3.52,-2.94	5
1.00,4.00	-4.47,1.71	5
1.00,4.00	0.24,4.53	5
1.00,4.00	4.56,-0.90	5
1.00,4.00	1.69,-4.22	5
1.00,4.00	3.29,-3.50	5
1.00,4.00	3.17,3.80	5
1.00,4.00	4.22,-1.60	5
1.00,4.00	-4.50,-0.60	5
1.00,4.00	3.18,-3.67	5
1.00,4.00	-4.50,-0.07	5
1.00,4.00	-2.53,3.72	5
1.00,4.00	-1.66,-4.42	5
1.00,4.00	4.54,0.91	5
1.00,4.00	3.16,-3.82	5
1.00,4.00	0.47,-4.50	5
