Initial Position	Final Position	Reflection Count
2.00,1.00	0.83,2.38	5
2.00,1.00	2.12,-1.65	5
2.00,1.00	-2.46,2.36	5
2.00,1.00	-2.46,-1.76	5
2.00,1.00	2.70,-1.33	5
2.00,1.00	-2.49,2.63	5
2.00,1.00	-2.47,2.05	5
2.00,1.00	-2.49,0.17	5
2.00,1.00	4.95,0.01	5
2.00,1.00	-0.00,-2.85	5
2.00,1.00	-2.47,1.69	5
2.00,1.00	0.20,2.74	5
2.00,1.00	-2.46,-1.44	5
2.00,1.00	3.19,1.02	5
2.00,1.00	-2.48,0.92	5
2.00,1.00	1.83,-1.81	5
2.00,1.00	-0.88,3.36	5
2.00,1.00	-2.49,1.78	5
2.00,1.00	1.61,-1.90	5
2.00,1.00	-2.49,4.25	5
2.00,1.00	-2.46,1.62	5
2.00,1.00	-2.50,0.88	5
2.00,1.00	-1.79,3.91	5
2.00,1.00	0.15,2.80	5
2.00,1.00	0.22,-2.74	5
2.00,1.00	-2.50,3.01	5
2.00,1.00	-2.50,0.22	5
2.00,1.00	-0.75,-3.28	5
2.00,1.00	-2.47,-0.85	5
2.00,1.00	-2.49,-2.09	5
2.00,1.00	-2.47,-1.62	5
2.00,1.00	-2.48,-2.62	5
2.00,1.00	-2.47,1.76	5
2.00,1.00	-2.48,0.36	5
2.00,1.00	2.30,-1.53	5
2.00,1.00	3.76,-0.69	5
2.00,1.00	-0.66,-3.25	5
2.00,1.00	-2.49,3.57	5
2.00,1.00	0.22,2.75	5
2.00,1.00	0.79,2.42	5
2.00,1.00	-2.50,-3.94	5
2.00,1.00	-1.43,3.69	5
2.00,1.00	-2.11,-4.06	5
2.00,1.00	-0.39,3.07	5
2.00,1.00	3.81,0.66	5
2.00,1.00	-0.57,-3.18	5
2.00,1.00	2.85,-1.22	5
2.00,1.00	-2.47,-2.66	5
2.00,1.00	2.83,1.22	5
2.00,1.00	-2.48,2.79	5
2.00,1.00	4.34,-0.33	5
2.00,1.00	-2.49,3.41	5
2.00,1.00	0.58,2.54	5
2.00,1.00	-2.48,-3.39	5
2.00,1.00	-2.47,1.22	5
2.00,1.00	0.84,2.38	5
2.00,1.00	2.75,-1.27	5
2.00,1.00	3.57,-0.82	5
2.00,1.00	-2.49,-1.57	5
2.00,1.00	3.78,0.69	5
2.00,1.00	-2.49,-4.26	5
2.00,1.00	-2.48,2.12	5
2.00,1.00	2.20,1.58	5
2.00,1.00	4.91,-0.00	5
2.00,1.00	-1.33,3.62	5
2.00,1.00	-0.03,2.88	5
2.00,1.00	-2.49,0.15	5
2.00,1.00	4.57,0.24	5
2.00,1.00	2.38,1.50	5
2.00,1.00	-2.46,-4.28	5
2.00,1.00	2.01,-1.68	5
2.00,1.00	-2.49,-0.63	5
2.00,1.00	-1.72,-3.86	5
2.00,1.00	-1.15,3.51	5
2.00,1.00	4.35,0.36	5
2.00,1.00	-2.47,-1.39	5
2.00,1.00	-2.48,0.27	5
2.00,1.00	-1.44,3.67	5
2.00,1.00	2.80,-1.24	5
2.00,1.00	-1.62,3.80	5
2.00,1.00	2.53,1.38	5
2.00,1.00	-2.49,1.89	5
2.00,1.00	4.50,0.28	5
2.00,1.00	2.72,-1.32	5
2.00,1.00	-2.48,1.99	5
2.00,1.00	2.38,-1.51	5
2.00,1.00	-1.39,-3.68	5
2.00,1.00	-2.45,1.39	5
2.00,1.00	-0.98,-3.44	5
2.00,1.00	-0.59,3.21	5
2.00,1.00	3.04,-1.12	5
2.00,1.00	-2.37,-4.24	5
2.00,1.00	-0.01,-2.85	5
2.00,1.00	3.26,1.00	5
2.00,1.00	-2.45,4.29	5
2.00,1.00	1.24,-2.12	5
2.00,1.00	0.67,-2.50	5
2.00,1.00	-2.48,1.08	5
2.00,1.00	4.63,0.21	5
2.00,1.00	-0.89,-3.40	5
2.00,1.00	-2.46,-2.95	5
2.00,1.00	-1.32,-3.64	5
2.00,1.00	0.06,-2.82	5
2.00,1.00	0.25,-2.71	5
2.00,1.00	-2.49,-2.79	5
2.00,1.00	-1.06,-3.49	5
2.00,1.00	1.95,-1.75	5
2.00,1.00	-2.00,3.99	5
2.00,1.00	0.54,2.56	5
2.00,1.00	0.56,-2.54	5
2.00,1.00	2.22,1.59	5
2.00,1.00	0.50,2.57	5
2.00,1.00	3.29,-0.96	5
2.00,1.00	2.63,-1.34	5
2.00,1.00	-2.46,4.29	5
2.00,1.00	-2.49,-1.19	5
2.00,1.00	0.48,-2.57	5
2.00,1.00	-2.20,4.12	5
2.00,1.00	-2.49,-4.20	5
2.00,1.00	-2.48,-2.37	5
2.00,1.00	2.79,-1.27	5
2.00,1.00	4.51,0.28	5
2.00,1.00	2.77,-1.26	5
2.00,1.00	-2.46,1.27	5
2.00,1.00	-2.47,-0.15	5
2.00,1.00	-2.48,-3.64	5
2.00,1.00	-1.79,-3.90	5
2.00,1.00	1.96,-1.73	5
2.00,1.00	-0.90,-3.37	5
2.00,1.00	2.72,-1.29	5
2.00,1.00	-0.52,3.18	5
2.00,1.00	-0.97,3.44	5
2.00,1.00	0.41,-2.65	5
2.00,1.00	0.73,2.46	5
2.00,1.00	1.64,-1.93	5
2.00,1.00	4.14,0.47	5
2.00,1.00	3.23,-1.01	5
2.00,1.00	1.79,-1.80	5
2.00,1.00	-2.47,-2.95	5
2.00,1.00	-2.48,-3.59	5
2.00,1.00	-0.29,3.03	5
2.00,1.00	3.14,1.06	5
2.00,1.00	-2.48,-1.89	5
2.00,1.00	-2.48,-3.57	5
2.00,1.00	-2.47,2.62	5
2.00,1.00	-2.49,-3.69	5
2.00,1.00	3.77,-0.70	5
2.00,1.00	4.05,-0.52	5
2.00,1.00	1.12,2.23	5
2.00,1.00	48.98,-16.27	3
2.00,1.00	-0.42,3.11	5
2.00,1.00	2.42,-1.46	5
2.00,1.00	-2.04,-4.06	5
2.00,1.00	-0.36,3.09	5
2.00,1.00	4.05,-0.53	5
2.00,1.00	3.22,1.03	5
2.00,1.00	-2.47,-2.78	5
2.00,1.00	-2.49,-1.45	5
2.00,1.00	-2.46,0.69	5
2.00,1.00	0.99,-2.30	5
2.00,1.00	4.62,-0.21	5
2.00,1.00	1.94,-1.76	5
2.00,1.00	3.83,0.65	5
2.00,1.00	-2.17,4.10	5
2.00,1.00	3.04,-1.12	5
2.00,1.00	4.20,-0.44	5
2.00,1.00	-2.45,-4.29	5
2.00,1.00	-2.46,-4.22	5
2.00,1.00	0.43,-2.62	5
2.00,1.00	-2.46,-2.11	5
2.00,1.00	3.75,0.68	5
2.00,1.00	-2.46,1.55	5
2.00,1.00	-1.18,-3.55	5
2.00,1.00	-2.50,0.96	5
2.00,1.00	1.51,-2.00	5
2.00,1.00	-2.48,1.76	5
2.00,1.00	2.12,-1.65	5
2.00,1.00	2.57,1.37	5
2.00,1.00	-2.49,3.69	5
2.00,1.00	-2.47,1.53	5
2.00,1.00	-2.48,-4.00	5
2.00,1.00	4.61,-0.20	5
2.00,1.00	0.50,2.57	5
2.00,1.00	3.83,0.65	5
2.00,1.00	-2.46,-2.96	5
2.00,1.00	1.23,-2.16	5
2.00,1.00	-0.13,2.94	5
2.00,1.00	-0.82,-3.35	5
2.00,1.00	0.35,2.64	5
2.00,1.00	-2.46,3.21	5
2.00,1.00	-0.69,-3.25	5
2.00,1.00	-2.49,-3.46	5
2.00,1.00	-2.47,-1.56	5
2.00,1.00	0.64,-2.51	5
2.00,1.00	-2.47,-4.26	5
2.00,1.00	1.94,1.71	5
2.00,1.00	1.97,1.73	5
2.00,1.00	0.10,-2.81	5
2.00,1.00	-1.25,3.58	5
2.00,1.00	3.06,-1.11	5
2.00,1.00	-2.50,-3.29	5
2.00,1.00	-2.49,-0.12	5
2.00,1.00	-2.49,-1.58	5
2.00,1.00	-2.49,4.13	5
2.00,1.00	3.66,0.76	5
2.00,1.00	-0.26,3.00	5
2.00,1.00	0.33,-2.68	5
2.00,1.00	0.79,2.42	5
2.00,1.00	4.88,0.06	5
2.00,1.00	-2.49,-3.34	5
2.00,1.00	2.00,1.69	5
2.00,1.00	-0.33,-3.06	5
2.00,1.00	-0.40,3.08	5
2.00,1.00	1.39,2.07	5
2.00,1.00	4.77,0.13	5
2.00,1.00	-2.50,-3.62	5
2.00,1.00	-2.49,2.34	5
2.00,1.00	0.19,2.73	5
2.00,1.00	0.54,-2.57	5
2.00,1.00	4.86,0.08	5
2.00,1.00	0.30,-2.70	5
2.00,1.00	2.40,1.45	5
2.00,1.00	-1.60,-3.81	5
