Initial Position	Final Position	Reflection Count
2.00,1.00	-0.51,-3.16	5
2.00,1.00	-2.48,-2.08	5
2.00,1.00	-2.49,3.53	5
2.00,1.00	-2.47,-2.21	5
2.00,1.00	1.67,-1.87	5
2.00,1.00	3.85,-0.66	5
2.00,1.00	4.16,-0.43	5
2.00,1.00	-2.46,1.71	5
2.00,1.00	-2.45,0.50	5
2.00,1.00	-2.50,0.40	5
2.00,1.00	-2.47,3.32	5
2.00,1.00	-2.48,3.67	5
2.00,1.00	4.65,-0.19	5
2.00,1.00	2.87,-1.22	5
2.00,1.00	-1.95,4.00	5
2.00,1.00	-1.48,-3.72	5
2.00,1.00	-2.13,-4.10	5
2.00,1.00	3.71,-0.74	5
2.00,1.00	2.20,1.57	5
2.00,1.00	-0.44,-3.13	5
2.00,1.00	-0.42,-3.10	5
2.00,1.00	-2.49,-1.50	5
2.00,1.00	-1.72,3.88	5
2.00,1.00	-0.09,2.90	5
2.00,1.00	2.31,1.53	5
2.00,1.00	-2.50,-0.01	5
2.00,1.00	2.32,1.50	5
2.00,1.00	-0.43,3.09	5
2.00,1.00	4.17,-0.47	5
2.00,1.00	-2.50,-1.09	5
2.00,1.00	2.93,1.17	5
2.00,1.00	3.96,0.55	5
2.00,1.00	-2.47,-0.52	5
2.00,1.00	4.39,0.31	5
2.00,1.00	2.10,-1.62	5
2.00,1.00	4.85,0.08	5
2.00,1.00	-2.50,-2.80	5
2.00,1.00	-2.49,3.59	5
2.00,1.00	3.44,-0.89	5
2.00,1.00	-1.06,3.49	5
2.00,1.00	-2.47,-3.10	5
2.00,1.00	-1.33,3.64	5
2.00,1.00	3.40,-0.92	5
2.00,1.00	-2.06,4.07	5
2.00,1.00	-2.20,-4.13	5
2.00,1.00	1.50,1.96	5
2.00,1.00	1.37,2.06	5
2.00,1.00	1.53,1.98	5
2.00,1.00	3.17,1.04	5
2.00,1.00	4.42,0.32	5
2.00,1.00	-2.30,4.19	5
2.00,1.00	1.38,2.08	5
2.00,1.00	1.39,2.08	5
2.00,1.00	4.15,0.48	5
2.00,1.00	-1.26,-3.56	5
2.00,1.00	-2.49,2.70	5
2.00,1.00	3.75,0.70	5
2.00,1.00	-2.47,-4.12	5
2.00,1.00	2.56,1.38	5
2.00,1.00	-2.50,-2.40	5
2.00,1.00	4.76,-0.10	5
2.00,1.00	-2.49,2.81	5
2.00,1.00	-2.48,-1.60	5
2.00,1.00	-0.03,2.88	5
2.00,1.00	3.64,0.77	5
2.00,1.00	-1.60,-3.78	5
2.00,1.00	0.56,2.54	5
2.00,1.00	3.75,-0.69	5
2.00,1.00	-1.03,-3.45	5
2.00,1.00	-2.49,-0.49	5
2.00,1.00	-1.73,3.87	5
2.00,1.00	-2.47,3.27	5
2.00,1.00	-1.61,3.78	5
2.00,1.00	2.33,1.54	5
2.00,1.00	1.96,1.73	5
2.00,1.00	-1.75,3.90	5
2.00,1.00	2.38,1.48	5
2.00,1.00	-2.50,3.09	5
2.00,1.00	-2.47,-3.53	5
2.00,1.00	-2.50,3.68	5
2.00,1.00	-2.49,2.42	5
2.00,1.00	-2.50,3.40	5
2.00,1.00	1.47,2.03	5
2.00,1.00	-2.00,-4.02	5
2.00,1.00	-1.91,-3.97	5
2.00,1.00	0.25,2.71	5
2.00,1.00	-2.49,-3.99	5
2.00,1.00	2.26,1.54	5
2.00,1.00	4.09,0.52	5
2.00,1.00	-2.47,-2.40	5
2.00,1.00	-2.47,-2.69	5
2.00,1.00	-1.19,-3.57	5
2.00,1.00	-0.19,-2.96	5
2.00,1.00	2.15,1.64	5
2.00,1.00	-2.47,-0.85	5
2.00,1.00	0.53,-2.55	5
2.00,1.00	4.64,-0.16	5
2.00,1.00	3.98,-0.54	5
2.00,1.00	-2.48,-0.49	5
2.00,1.00	2.62,1.34	5
2.00,1.00	1.97,1.73	5
2.00,1.00	-2.47,-1.81	5
2.00,1.00	2.07,-1.68	5
2.00,1.00	-1.21,-3.56	5
2.00,1.00	1.90,-1.79	5
2.00,1.00	-0.92,-3.40	5
2.00,1.00	-2.49,-2.09	5
2.00,1.00	3.61,0.76	5
2.00,1.00	2.50,1.43	5
2.00,1.00	-1.30,-3.63	5
2.00,1.00	-2.16,4.08	5
2.00,1.00	-2.46,-4.25	5
2.00,1.00	-2.48,1.01	5
2.00,1.00	0.51,2.56	5
2.00,1.00	3.70,0.72	5
2.00,1.00	4.56,0.25	5
2.00,1.00	-0.68,-3.26	5
2.00,1.00	-2.50,1.90	5
2.00,1.00	-1.91,-3.96	5
2.00,1.00	4.65,-0.20	5
2.00,1.00	-2.49,2.70	5
2.00,1.00	-1.66,-3.81	5
2.00,1.00	0.56,-2.53	5
2.00,1.00	-2.46,-4.29	5
2.00,1.00	-2.48,2.97	5
2.00,1.00	2.35,-1.50	5
2.00,1.00	1.51,2.01	5
2.00,1.00	2.16,-1.61	5
2.00,1.00	-0.94,-3.38	5
2.00,1.00	-1.77,-3.90	5
2.00,1.00	-2.45,-2.13	5
2.00,1.00	-2.11,-4.06	5
2.00,1.00	-2.49,3.58	5
2.00,1.00	-2.51,4.25	5
2.00,1.00	-1.19,3.55	5
2.00,1.00	-0.50,3.17	5
2.00,1.00	4.64,0.17	5
2.00,1.00	2.30,1.53	5
2.00,1.00	-2.31,4.20	5
2.00,1.00	1.25,-2.16	5
2.00,1.00	-2.46,1.93	5
2.00,1.00	-0.61,-3.21	5
2.00,1.00	-2.47,4.01	5
2.00,1.00	-1.94,4.00	5
2.00,1.00	-2.49,1.38	5
2.00,1.00	-2.48,-2.90	5
2.00,1.00	-2.50,1.69	5
2.00,1.00	-2.48,3.45	5
2.00,1.00	-1.99,-4.03	5
2.00,1.00	1.10,2.23	5
2.00,1.00	-0.45,3.11	5
2.00,1.00	-0.99,-3.45	5
2.00,1.00	-0.50,-3.12	5
2.00,1.00	-2.49,-0.92	5
2.00,1.00	-1.20,-3.54	5
2.00,1.00	2.37,1.50	5
2.00,1.00	2.35,1.52	5
2.00,1.00	-0.50,-3.16	5
2.00,1.00	-1.26,-3.60	5
2.00,1.00	-2.48,-2.70	5
2.00,1.00	3.34,-0.95	5
2.00,1.00	-2.49,4.23	5
2.00,1.00	-1.02,3.43	5
2.00,1.00	-0.06,2.91	5
2.00,1.00	0.92,-2.34	5
2.00,1.00	1.45,2.00	5
2.00,1.00	-2.48,3.37	5
2.00,1.00	-2.46,-1.56	5
2.00,1.00	3.00,1.10	5
2.00,1.00	-1.46,-3.71	5
2.00,1.00	-2.49,-0.35	5
2.00,1.00	2.00,1.70	5
2.00,1.00	0.55,2.56	5
2.00,1.00	-2.48,-3.26	5
2.00,1.00	-2.45,-1.46	5
2.00,1.00	-2.42,4.31	5
2.00,1.00	4.54,-0.23	5
2.00,1.00	3.84,0.64	5
2.00,1.00	-2.49,2.69	5
2.00,1.00	2.30,-1.54	5
2.00,1.00	-2.49,2.60	5
2.00,1.00	-2.45,3.05	5
2.00,1.00	0.09,-2.82	5
2.00,1.00	0.29,-2.69	5
2.00,1.00	-2.49,3.13	5
2.00,1.00	-2.50,0.35	5
2.00,1.00	-2.03,-4.05	5
2.00,1.00	1.78,-1.82	5
2.00,1.00	-1.83,3.92	5
2.00,1.00	0.96,2.33	5
2.00,1.00	2.80,-1.27	5
2.00,1.00	4.28,0.39	5
2.00,1.00	1.26,2.14	5
2.00,1.00	-2.49,-0.29	5
2.00,1.00	2.05,1.70	5
2.00,1.00	-0.51,3.17	5
2.00,1.00	4.18,-0.46	5
2.00,1.00	2.45,1.46	5
2.00,1.00	-2.47,0.92	5
2.00,1.00	-2.10,-4.06	5
2.00,1.00	-1.34,3.61	5
2.00,1.00	1.26,2.14	5
2.00,1.00	3.66,0.77	5
2.00,1.00	-2.49,3.77	5
2.00,1.00	4.09,0.52	5
2.00,1.00	3.80,-0.66	5
2.00,1.00	-0.80,3.31	5
2.00,1.00	4.20,-0.45	5
2.00,1.00	-1.45,3.70	5
2.00,1.00	-2.46,3.78	5
2.00,1.00	0.43,-2.59	5
2.00,1.00	-2.48,-4.17	5
2.00,1.00	-2.46,4.12	5
2.00,1.00	4.54,0.25	5
2.00,1.00	2.19,-1.59	5
2.00,1.00	0.61,2.49	5
2.00,1.00	-0.87,3.34	5
2.00,1.00	2.09,-1.68	5
2.00,1.00	2.08,-1.65	5
2.00,1.00	2.31,-1.53	5
2.00,1.00	3.50,0.86	5
2.00,1.00	-2.49,1.64	5
2.00,1.00	-1.07,-3.48	5
2.00,1.00	2.30,-1.53	5
2.00,1.00	2.24,-1.56	5
2.00,1.00	-2.49,2.76	5
2.00,1.00	3.23,-1.00	5
2.00,1.00	-2.48,-3.81	5
2.00,1.00	-2.50,1.69	5
2.00,1.00	-0.01,-2.89	5
2.00,1.00	-0.22,3.00	5
2.00,1.00	-1.52,-3.72	5
2.00,1.00	2.74,-1.30	5
2.00,1.00	4.04,-0.51	5
2.00,1.00	-1.54,-3.77	5
2.00,1.00	-1.84,3.93	5
2.00,1.00	-0.79,3.33	5
2.00,1.00	4.08,0.52	5
2.00,1.00	-0.30,-3.05	5
2.00,1.00	1.03,2.27	5
2.00,1.00	-2.46,-2.92	5
2.00,1.00	2.38,-1.48	5
2.00,1.00	-0.96,-3.40	5
2.00,1.00	-2.48,-4.25	5
2.00,1.00	-2.50,-2.60	5
2.00,1.00	-2.16,4.13	5
2.00,1.00	2.19,-1.61	5
2.00,1.00	1.95,1.75	5
2.00,1.00	-2.46,2.27	5
2.00,1.00	1.78,1.82	5
2.00,1.00	-2.50,-3.03	5
2.00,1.00	3.01,-1.14	5
2.00,1.00	4.06,0.49	5
2.00,1.00	2.63,-1.36	5
2.00,1.00	-1.64,3.81	5
2.00,1.00	1.39,-2.07	5
2.00,1.00	4.76,-0.08	5
2.00,1.00	-2.48,0.52	5
2.00,1.00	0.73,-2.46	5
2.00,1.00	3.67,0.75	5
2.00,1.00	1.84,-1.81	5
2.00,1.00	-2.45,1.57	5
2.00,1.00	4.88,0.05	5
2.00,1.00	-2.24,-4.13	5
2.00,1.00	-1.04,3.44	5
2.00,1.00	1.44,-2.04	5
2.00,1.00	4.92,-0.02	5
2.00,1.00	-0.88,-3.36	5
2.00,1.00	-1.45,3.71	5
2.00,1.00	1.94,1.76	5
2.00,1.00	0.28,-2.71	5
2.00,1.00	-0.78,-3.30	5
2.00,1.00	-0.59,3.20	5
2.00,1.00	0.84,2.40	5
2.00,1.00	-2.48,-1.84	5
2.00,1.00	-2.46,4.29	5
2.00,1.00	-1.82,-3.93	5
