Initial Position	Final Position	Reflection Count
3.00,2.00	-1.36,4.22	5
3.00,2.00	-1.32,-4.24	5
3.00,2.00	0.04,4.97	5
3.00,2.00	4.33,-1.88	5
3.00,2.00	3.66,-2.86	5
3.00,2.00	-1.99,-3.82	5
3.00,2.00	4.32,-1.83	5
3.00,2.00	4.30,1.28	5
3.00,2.00	-4.31,-2.35	5
3.00,2.00	3.76,-2.82	5
3.00,2.00	-1.66,4.03	5
3.00,2.00	4.24,-2.53	5
3.00,2.00	0.37,-4.75	5
3.00,2.00	-3.53,-2.91	5
3.00,2.00	0.39,4.75	5
3.00,2.00	-3.02,-3.25	5
3.00,2.00	3.30,3.07	5
3.00,2.00	-0.08,-4.92	5
3.00,2.00	1.25,-4.26	5
3.00,2.00	-4.21,-2.55	5
3.00,2.00	4.29,1.08	5
3.00,2.00	-1.28,-4.24	5
3.00,2.00	-1.29,4.23	5
3.00,2.00	-2.20,3.72	5
3.00,2.00	-4.31,-2.14	5
3.00,2.00	-4.33,0.99	5
3.00,2.00	-0.85,-4.47	5
3.00,2.00	-3.21,3.13	5
3.00,2.00	-0.88,4.49	5
3.00,2.00	4.29,-2.45	5
3.00,2.00	-0.35,-4.77	5
3.00,2.00	0.05,4.93	5
3.00,2.00	-3.77,2.81	5
3.00,2.00	4.29,-0.78	5
3.00,2.00	-3.44,2.99	5
3.00,2.00	2.38,-3.60	5
3.00,2.00	-1.22,4.25	5
3.00,2.00	-4.30,0.56	5
3.00,2.00	2.05,3.76	5
3.00,2.00	-4.32,-0.49	5
3.00,2.00	0.66,4.60	5
3.00,2.00	-3.79,-2.78	5
3.00,2.00	-2.53,-3.54	5
3.00,2.00	0.67,-4.57	5
3.00,2.00	0.11,4.92	5
3.00,2.00	-0.01,4.96	5
3.00,2.00	-1.97,3.84	5
3.00,2.00	-0.72,-4.56	5
3.00,2.00	-4.28,0.77	5
3.00,2.00	-4.33,-0.25	5
3.00,2.00	-4.30,0.14	5
3.00,2.00	0.68,-4.58	5
3.00,2.00	-2.68,3.42	5
3.00,2.00	4.30,0.22	5
3.00,2.00	-4.30,-0.47	5
3.00,2.00	-2.31,-3.63	5
3.00,2.00	3.13,-3.17	5
3.00,2.00	-0.75,4.54	5
3.00,2.00	0.30,4.81	5
3.00,2.00	4.29,-1.69	5
3.00,2.00	1.69,-3.99	5
3.00,2.00	4.29,-1.28	5
3.00,2.00	0.26,4.85	5
3.00,2.00	-2.43,-3.58	5
3.00,2.00	4.28,-2.36	5
3.00,2.00	-4.30,-1.92	5
3.00,2.00	-4.32,2.41	5
3.00,2.00	3.08,-3.20	5
3.00,2.00	-4.31,0.45	5
3.00,2.00	3.38,-3.03	5
3.00,2.00	4.33,0.41	5
3.00,2.00	-4.33,-0.07	5
3.00,2.00	-2.27,-3.68	5
3.00,2.00	-2.00,3.85	5
3.00,2.00	-0.28,-4.83	5
3.00,2.00	3.92,2.71	5
3.00,2.00	-4.33,-0.21	5
3.00,2.00	0.53,4.67	5
3.00,2.00	1.62,-4.05	5
3.00,2.00	-2.52,3.51	5
3.00,2.00	-4.33,0.62	5
3.00,2.00	-1.24,4.24	5
3.00,2.00	-0.83,-4.52	5
3.00,2.00	-0.94,-4.43	5
3.00,2.00	2.79,-3.37	5
3.00,2.00	0.56,4.63	5
3.00,2.00	-4.33,0.78	5
3.00,2.00	-3.49,2.97	5
3.00,2.00	-3.96,-2.70	5
3.00,2.00	4.33,-2.03	5
3.00,2.00	-1.63,4.05	5
3.00,2.00	2.96,-3.27	5
3.00,2.00	-0.04,4.97	5
3.00,2.00	-4.33,-1.28	5
3.00,2.00	4.29,1.76	5
3.00,2.00	-3.11,3.19	5
3.00,2.00	-2.90,-3.31	5
3.00,2.00	-2.01,3.80	5
3.00,2.00	2.47,3.54	5
3.00,2.00	-4.31,2.23	5
3.00,2.00	2.83,3.34	5
3.00,2.00	-4.31,1.71	5
3.00,2.00	2.15,-3.74	5
3.00,2.00	-3.14,-3.18	5
3.00,2.00	-4.32,-2.38	5
3.00,2.00	1.12,-4.31	5
3.00,2.00	-1.96,3.85	5
3.00,2.00	-4.29,1.26	5
3.00,2.00	-3.73,-2.81	5
3.00,2.00	-2.31,-3.61	5
3.00,2.00	-4.31,0.50	5
3.00,2.00	-0.71,4.57	5
3.00,2.00	1.48,-4.12	5
3.00,2.00	-4.26,2.53	5
3.00,2.00	2.29,-3.65	5
3.00,2.00	-2.53,-3.48	5
3.00,2.00	-2.45,3.56	5
3.00,2.00	-3.27,3.07	5
3.00,2.00	0.07,-4.91	5
3.00,2.00	1.86,-3.92	5
3.00,2.00	-4.31,1.35	5
3.00,2.00	-3.36,-3.05	5
3.00,2.00	0.87,-4.49	5
3.00,2.00	-2.16,3.73	5
3.00,2.00	-0.77,-4.50	5
3.00,2.00	-3.34,3.02	5
3.00,2.00	-3.85,-2.78	5
3.00,2.00	-1.60,-4.06	5
3.00,2.00	-1.77,3.94	5
3.00,2.00	-2.44,-3.57	5
3.00,2.00	1.44,4.17	5
3.00,2.00	-4.33,-2.14	5
3.00,2.00	2.49,-3.52	5
3.00,2.00	-0.33,-4.78	5
3.00,2.00	1.16,4.31	5
3.00,2.00	-3.03,3.20	5
3.00,2.00	-0.95,4.42	5
3.00,2.00	-0.52,-4.70	5
3.00,2.00	2.25,-3.69	5
3.00,2.00	-4.31,-0.07	5
3.00,2.00	4.31,-1.26	5
3.00,2.00	0.19,-4.88	5
3.00,2.00	-1.64,-4.05	5
3.00,2.00	-1.79,-3.96	5
3.00,2.00	-1.78,-3.96	5
3.00,2.00	-4.33,-0.43	5
3.00,2.00	-4.32,0.76	5
3.00,2.00	2.87,-3.32	5
3.00,2.00	-4.31,-2.19	5
3.00,2.00	-2.41,3.58	5
3.00,2.00	1.44,4.15	5
3.00,2.00	-3.45,3.00	5
3.00,2.00	-3.25,3.11	5
3.00,2.00	2.79,-3.39	5
3.00,2.00	1.41,-4.16	5
3.00,2.00	-1.71,4.00	5
3.00,2.00	-3.82,2.78	5
3.00,2.00	4.30,-2.26	5
3.00,2.00	-4.07,-2.65	5
3.00,2.00	3.64,-2.88	5
3.00,2.00	-4.33,-2.20	5
3.00,2.00	-1.06,-4.38	5
3.00,2.00	3.16,3.17	5
3.00,2.00	-2.90,3.32	5
3.00,2.00	-0.87,-4.45	5
3.00,2.00	-1.80,-3.92	5
3.00,2.00	-2.86,-3.31	5
3.00,2.00	-1.11,-4.33	5
3.00,2.00	2.02,-3.82	5
3.00,2.00	-1.04,-4.35	5
3.00,2.00	-1.96,3.86	5
3.00,2.00	-0.39,-4.73	5
3.00,2.00	4.29,-1.33	5
3.00,2.00	-4.29,1.37	5
3.00,2.00	-2.53,-3.51	5
3.00,2.00	-1.97,-3.84	5
3.00,2.00	-4.33,2.00	5
3.00,2.00	-4.32,-2.12	5
3.00,2.00	2.47,3.56	5
3.00,2.00	1.26,-4.26	5
3.00,2.00	2.38,3.61	5
3.00,2.00	2.84,3.35	5
3.00,2.00	-4.30,0.77	5
3.00,2.00	-1.33,-4.23	5
3.00,2.00	-1.57,4.09	5
3.00,2.00	4.30,-2.27	5
3.00,2.00	2.67,-3.45	5
3.00,2.00	-3.92,2.72	5
3.00,2.00	-4.19,2.56	5
3.00,2.00	-1.19,-4.30	5
3.00,2.00	-4.32,0.56	5
3.00,2.00	3.74,-2.82	5
3.00,2.00	-1.49,4.11	5
3.00,2.00	2.95,3.28	5
3.00,2.00	-0.38,-4.78	5
3.00,2.00	0.91,4.47	5
3.00,2.00	4.31,-1.63	5
3.00,2.00	-2.50,3.55	5
3.00,2.00	-2.51,-3.52	5
3.00,2.00	4.33,-2.22	5
3.00,2.00	4.32,-1.45	5
3.00,2.00	0.49,4.68	5
3.00,2.00	-1.81,-3.95	5
3.00,2.00	-4.29,1.99	5
3.00,2.00	0.81,4.49	5
3.00,2.00	-3.63,-2.88	5
3.00,2.00	-2.03,3.83	5
3.00,2.00	-4.32,1.23	5
3.00,2.00	-0.33,-4.81	5
3.00,2.00	-4.30,-2.09	5
3.00,2.00	4.31,-1.19	5
3.00,2.00	1.22,4.29	5
3.00,2.00	-4.31,-0.39	5
3.00,2.00	-4.20,2.54	5
3.00,2.00	-4.29,1.28	5
3.00,2.00	2.57,-3.52	5
3.00,2.00	-4.32,1.25	5
3.00,2.00	-1.70,-3.97	5
3.00,2.00	-2.87,3.33	5
3.00,2.00	4.30,0.05	5
3.00,2.00	-3.49,2.97	5
3.00,2.00	4.32,-2.07	5
3.00,2.00	-0.78,4.53	5
3.00,2.00	4.30,-1.09	5
3.00,2.00	1.04,4.38	5
3.00,2.00	-0.81,4.52	5
3.00,2.00	4.30,2.41	5
3.00,2.00	-2.60,3.50	5
3.00,2.00	-2.24,3.71	5
3.00,2.00	-3.05,3.20	5
